time,Mech_dissip_avg,Mech_dissip_core,Mod_Gruntfest_avg,Mod_Gruntfest_core,elastic_strain_z,max_returnmap_iter,mises_stress,plastic_strain_z,temperature_avg,temperature_core,total_strain_z
97,19963.962331117,20140.747558818,7861.3005594867,7835.6339312938,-0.009434706630123,2,157152589.67825,-0.00050674712110988,294.5945322228,296.78317205089,-0.0099414537512328
97.5,20592.576458408,20778.058034292,8106.7396722535,8078.4322247345,-0.0094588078638901,2,157572433.19951,-0.00053414739247437,294.64009226712,296.89795319045,-0.0099929552563645
98,21215.128724004,21409.202474559,8349.685540632,8318.5740980869,-0.0094821560631954,2,157979158.86396,-0.00056230335084722,294.68521267036,297.01163173262,-0.010044459414043
98.5,21830.800818634,22033.327463361,8589.8228555808,8555.7447108504,-0.009504761857111,2,158372951.83027,-0.00059120436743015,294.72983356988,297.12405594026,-0.010095966224541
99,22438.828011692,22649.634612181,8826.8578049626,8789.6515888312,-0.0095266366606216,2,158754010.94771,-0.00062083902751225,294.77389900134,297.23508389517,-0.010147475688134
99.5,23038.500497746,23257.382194051,9060.5185244385,9020.0250637238,-0.0095477926061601,2,159122547.5635,-0.00065119519893466,294.81735700298,297.34458377156,-0.010198987805095
100,23629.164251752,23855.886250275,9290.5553553568,9246.6185096371,-0.0095682424753042,2,159478784.33292,-0.00068226010039372,294.86015968283,297.45243401776,-0.010250502575698
100.5,24210.221416602,24444.521192333,9516.7409213013,9469.2083893379,-0.0095879996311042,2,159822954.04053,-0.0007140203691133,294.90226325187,297.55852344851,-0.010302020000217
101,24781.1302568,25022.719931311,9738.870036245,9687.5941237021,-0.0096070779514654,2,160155298.43963,-0.00074646212746228,294.94362802471,297.66275125551,-0.010353540078928
101.5,25341.404709651,25589.973566077,9956.7594583237,9901.597799407,-0.00962549176397,2,160476067.11686,-0.00077957104813288,294.98421839048,297.7650269419,-0.010405062812103
102,25890.613570837,26145.830667515,10170.247503903,10111.063730573,-0.0096432557824766,2,160785516.38781,-0.00081333241754071,295.02400275611,297.86527018575,-0.010456588200017
102.5,26428.379350436,26689.89619624,10379.193537022,10315.857890471,-0.0096603850457961,2,161083908.22868,-0.00084773119714954,295.06295346576,297.9634106421,-0.010508116242946
103,26954.376837365,27221.830093282,10583.477349417,10515.867229636,-0.0096768948586946,2,161371509.24863,-0.00088275208246755,295.10104669743,298.05938768634,-0.010559646941162
103.5,27468.331409444,27741.345583501,10782.998446218,10710.998896497,-0.0096928007354387,2,161648589.70627,-0.00091837955950272,295.13826234118,298.15315011037,-0.010611180294941
104,27970.017127818,28248.207233062,10977.675252034,10901.179376361,-0.0097081183460507,2,161915422.57345,-0.00095459795850762,295.17458386084,298.244655776,-0.010662716304558
104.5,28459.254647385,28742.228795799,11167.444251718,11086.35356416,-0.0097228634654109,2,162172282.64863,-0.00099139150487652,295.20999814173,298.33387123211,-0.010714254970287
105,28935.908984979,29223.270892848,11352.259079299,11266.483785098,-0.0097370519253009,2,162419445.72147,-0.0010287443671027,295.24449532776,298.42077130382,-0.010765796292404
105.5,29399.887171587,29691.238555603,11532.089567898,11441.548777151,-0.0097506995694525,2,162657187.78978,-0.001066640701729,295.27806864948,298.50533865859,-0.010817340271181
106,29851.135822334,30146.078669147,11706.920772509,11611.542648118,-0.0097638222116367,2,162885784.32942,-0.0011050646952594,295.31071424602,298.58756335535,-0.010868886906896
106.5,30289.638652349,30587.77734723,11876.751976572,11776.473818693,-0.0097764355967963,2,163105509.61725,-0.0011440006030261,295.34243098253,298.66744238289,-0.010920436199822
107,30715.413964643,31016.35726776,12041.595692336,11936.363962063,-0.0097885553652027,2,163316636.10673,-0.0011834327850326,295.37322026567,298.74497919128,-0.010971988150235
107.5,31128.512133073,31431.874996414,12201.476663911,12091.24695003,-0.0098001970195956,2,163519433.85549,-0.0012233457388142,295.40308585816,298.82018322173,-0.01102354275841
108,31529.013103779,31834.418322203,12356.430880961,12241.167812977,-0.0098113758952416,2,163714170.00376,-0.0012637241293795,295.43203369488,298.89306944006,-0.011075100024621
108.5,31917.023930033,32224.103624537,12506.504610029,12386.181722032,-0.0098221071328362,2,163901108.30233,-0.0013045528163079,295.46007170125,298.96365787359,-0.011126659949144
109,32292.676357855,32601.07329134,12651.753449485,12526.352999214,-0.0098324056541583,2,164080508.68845,-0.0013458168780958,295.48720961501,299.03197315995,-0.011178222532254
109.5,32656.124481288,32965.493207187,12792.241413127,12661.754160288,-0.0098422861403678,2,164252626.90776,-0.0013875016338584,295.51345881342,299.09804410599,-0.011229787774226
110,33007.542471589,33317.550320162,12928.040046688,12792.464995449,-0.0098517630128379,2,164417714.18041,-0.0014295926624978,295.5388321457,299.16190326182,-0.011281355675336
110.5,33347.122394294,33657.450301198,13059.227580658,12918.57169067,-0.0098608504164005,2,164576016.90917,-0.0014720758194571,295.56334377183,299.22358651048,-0.011332926235858
111,33675.072121686,33985.415305531,13185.888122043,13040.165992472,-0.0098695622048782,2,164727776.42745,-0.001514937251189,295.58700900855,299.28313267603,-0.011384499456067
111.5,33991.613344209,34301.681840585,13308.110887057,13157.344418022,-0.0098779119287753,2,164873228.78481,-0.0015581634074648,295.60984418254,299.34058314945,-0.01143607533624
112,34296.979686333,34606.498746809,13425.989476122,13270.207511816,-0.0098859128249974,2,165012604.56794,-0.0016017410516539,295.63186649151,299.39598153419,-0.011487653876651
112.5,34591.414934002,34900.125297928,13539.621191864,13378.859148802,-0.0098935778084632,2,165146128.75451,-0.0016456572691129,295.65309387329,299.44937331302,-0.011539235077576
113,34875.171364464,35182.829415306,13649.106400548,13483.405885643,-0.009900919465486,2,165274020.59786,-0.001689899473804,295.67354488267,299.50080553505,-0.01159081893929
113.5,35148.508189621,35454.886002734,13754.547936728,13583.956357747,-0.0099079500487896,2,165396493.54021,-0.0017344554132786,295.69323857661,299.55032652222,-0.011642405462068
114,35411.690106659,35716.575400078,13856.050550658,13680.620722921,-0.0099146814740346,2,165513755.15215,-0.0017793131721517,295.71219440736,299.59798559782,-0.011693994646186
114.5,35664.985954134,35968.181950934,13953.720397615,13773.510149673,-0.0099211253177334,2,165626007.0963,-0.0018244611741861,295.73043212377,299.64383283348,-0.011745586491919
115,35908.667475671,36209.992689,14047.664568064,13862.736349388,-0.0099272928164323,2,165733445.11304,-0.0018698881831109,295.7479716797,299.68791881873,-0.011797180999543
115.5,36143.00818142,36442.296127236,14137.990657373,13948.411149263,-0.0099331948670489,2,165836259.02647,-0.001915583302284,295.76483315093,299.73029444619,-0.011848778169333
116,36368.282309211,36665.381161727,14224.806373584,14030.646107441,-0.0099388420282559,2,165934632.76844,-0.001961535973308,295.78103665806,299.77101071862,-0.011900378001564
116.5,36584.76387979,36879.536072692,14308.219181642,14109.55216475,-0.009944244522806,2,166028744.41908,-0.0020077359737058,295.7966022979,299.81011857118,-0.011951980496512
117,36792.725841706,37085.047626018,14388.335982347,14185.2393337,-0.0099494122406991,2,166118766.26198,-0.002054173413753,295.81155008017,299.84766871229,-0.012003585654452
117.5,36992.439301202,37282.200266332,14465.262824267,14257.816421548,-0.0099543547431011,2,166204864.85243,-0.0021008387325589,295.82589987131,299.88371148007,-0.01205519347566
118,37184.172834063,37471.275398695,14539.104646774,14327.390785509,-0.0099590812669244,2,166287201.09725,-0.0021477226934868,295.83967134403,299.91829671448,-0.012106803960411
118.5,37368.191873007,37652.550753484,14609.965052319,14394.068118572,-0.0099636007299894,2,166365930.34467,-0.0021948163789917,295.85288393261,299.95147364407,-0.012158417108981
119,37544.758167076,37826.299827729,14677.946106205,14457.952263176,-0.0099679217366907,2,166441202.48306,-0.0022421111849548,295.86555679333,299.98329078439,-0.012210032921646
119.5,37714.129307898,37992.791399722,14743.148161863,14519.145051082,-0.0099720525840959,2,166513162.04716,-0.0022895988145837,295.8777087703,300.0137958524,-0.01226165139868

